Period,Zone,Avg
1970,North,1276.230696
1975,North,1300.46839
1980,North,1353.227122
1985,North,1352.059762
1990,North,1367.975794
1995,North,1546.865711
2000,North,1436.071223
2005,North,1535.824539
2010,North,1557.471131
1970,Mid,1847.360089
1975,Mid,1869.555586
1980,Mid,1781.774038
1985,Mid,1921.531897
1990,Mid,1849.224443
1995,Mid,1946.840009
2000,Mid,1920.322204
2005,Mid,2027.872757
2010,Mid,2101.317023
1970,South,2134.800246
1975,South,2164.323914
1980,South,2104.503695
1985,South,2192.55764
1990,South,2132.301444
1995,South,2247.539633
2000,South,2240.047605
2005,South,2289.064026
2010,South,2382.945653
1970,Combined,1752.79701
1975,Combined,1778.115963
1980,Combined,1746.501618
1985,Combined,1822.049766
1990,Combined,1783.167227
1995,Combined,1913.748451
2000,Combined,1865.480344
2005,Combined,1950.920441
2010,Combined,2013.911269
