Period,Zone,Avg
1970,North,1.864348
1975,North,1.8127895
1980,North,1.81619
1985,North,1.973291
1990,North,2.16156
1995,North,1.994996
2000,North,2.1446085
2005,North,2.097139
2010,North,2.0179065
1970,Mid,2.287586
1975,Mid,2.093036
1980,Mid,2.19449
1985,Mid,2.097559
1990,Mid,2.215123
1995,Mid,2.364456
2000,Mid,2.342912
2005,Mid,2.325499
2010,Mid,2.193919333
1970,South,2.317214333
1975,South,2.413918
1980,South,2.675734333
1985,South,2.401727
1990,South,2.541213
1995,South,2.483700333
2000,South,2.520674333
2005,South,2.635862
2010,South,2.550427
1970,Combined,2.156382778
1975,Combined,2.106581167
1980,Combined,2.228804778
1985,Combined,2.157525667
1990,Combined,2.305965333
1995,Combined,2.281050778
2000,Combined,2.336064944
2005,Combined,2.352833333
2010,Combined,2.254084278
