Period,Zone,Avg
1970,North,-0.3429628
1975,North,-0.2746694
1980,North,0.5227929
1985,North,0.31452035
1990,North,1.1328696
1995,North,1.55191845
2000,North,1.11535305
2005,North,1.79000905
2010,North,1.904821
1970,Mid,3.511345667
1975,Mid,3.571026667
1980,Mid,3.864641333
1985,Mid,4.074297333
1990,Mid,4.085382
1995,Mid,4.464848667
2000,Mid,4.413920667
2005,Mid,4.825776667
2010,Mid,5.093997667
1970,South,6.948411667
1975,South,6.911758
1980,South,7.065681333
1985,South,7.338163333
1990,South,7.382617
1995,South,7.850666667
2000,South,7.774790333
2005,South,7.981365
2010,South,8.218268333
1970,Combined,3.372264844
1975,Combined,3.402705089
1980,Combined,3.817705189
1985,Combined,3.908993672
1990,Combined,4.200289533
1995,Combined,4.622477928
2000,Combined,4.434688017
2005,Combined,4.865716906
2010,Combined,5.072362333
