,ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
140,7509,MINAKI,Ontario,6035190,3965,NA,NA,49.98,-94.67,495900000,-944000000,335.3,1930,1967,NA,NA,1930,1967,1930,1967
141,7533,WERNER L,Ontario,6039450,9852,NA,NA,49.98,-94.67,495900000,-944000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,7606,KENOGAMI DAM,Ontario,6044050,4015,NA,NA,49.92,-86.47,495500000,-862800000,312.4,1950,1958,NA,NA,1950,1958,1950,1958
143,7978,MOOSELAND,Ontario,607ND0R,9883,NA,NA,49.92,-84.25,495500000,-841500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,7492,IGNACE FORESTRY,Ontario,6033695,7384,NA,NA,49.9,-91.58,495400000,-913500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,7532,WATCOMB,Ontario,6039351,3974,NA,NA,49.9,-91.28,495400000,-911700000,411.5,1969,1977,NA,NA,1969,1977,1970,1977
146,7670,STURGEON LAKE,Ontario,6048145,4052,NA,NA,49.88,-90.97,495300000,-905800000,428.2,1972,1994,NA,NA,1972,1994,1972,1994
147,7879,ABITIBI CANYON,Ontario,6070027,4141,NA,NA,49.88,-81.57,495300000,-813400000,204.2,1931,1963,NA,NA,1931,1963,1931,1963
148,7510,DRYDEN RADAR,Ontario,6035650,44588,NA,XDR,49.86,-92.8,495130000,-924750000,0,NA,NA,NA,NA,NA,NA,NA,NA
149,7528,VERMILION BAY,Ontario,6039135,7393,NA,NA,49.85,-93.4,495100000,-932400000,374.6,NA,NA,NA,NA,NA,NA,NA,NA
150,7945,PINARD,Ontario,6076540,4173,NA,NA,49.85,-81.6,495100000,-813600000,231.6,1963,1982,NA,NA,1963,1982,1963,1982
151,7475,BARCLAY,Ontario,6030488,3951,NA,NA,49.83,-92.82,495000000,-924900000,381.3,1885,1896,NA,NA,1885,1896,1885,1896
152,7480,DRYDEN A,Ontario,6032119,3953,NA,YHD,49.83,-92.75,495000000,-924500000,412.7,1969,2005,1969,2005,1970,2005,1970,2004
153,7481,DRYDEN A (AUT),Ontario,6032120,29368,NA,NA,49.83,-92.74,494954000,-924439000,412.7,1999,2010,1999,2010,1999,2010,2004,2006
154,7483,DRYDEN REGIONAL,Ontario,6032125,48869,71527,YHD,49.83,-92.74,494939000,-924439000,412.7,2010,2016,2010,2016,2010,2016,NA,NA
155,7529,VERMILION BAY TCPL 52,Ontario,6039136,3973,NA,NA,49.83,-93.63,495000000,-933800000,385,1969,1984,NA,NA,1969,1984,1969,1984
156,7535,WINKLE LAKE,Ontario,6039554,9882,NA,NA,49.83,-92.83,495000000,-925000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,7482,DRYDEN FORESTRY,Ontario,6032122,3954,NA,NA,49.82,-92.85,494900000,-925100000,373.1,1960,1968,NA,NA,1960,1968,1960,1968
158,7485,EAGLE RIVER,Ontario,6032192,3955,NA,NA,49.82,-93.22,494900000,-931300000,350,1986,1988,NA,NA,1986,1988,1986,1988
159,7494,INGOLF,Ontario,6033785,3958,NA,NA,49.82,-95.15,494900000,-950900000,363,1927,1941,NA,NA,1927,1941,1927,1941
160,7531,WATCOMB,Ontario,6039350,7395,NA,NA,49.82,-91.32,494900000,-911900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,7498,KENORA,Ontario,6034070,3959,NA,NA,49.8,-94.53,494800000,-943200000,335.9,1883,1939,NA,NA,1883,1939,1883,1939
162,7499,KENORA RCS,Ontario,6034073,47307,71151,TKR,49.79,-94.38,494726000,-942240000,412.7,2008,2016,2008,2016,2008,2016,NA,NA
163,7500,KENORA A,Ontario,6034075,3960,71850,YQK,49.79,-94.37,494725005,-942155003,409.65,1938,2013,1953,2013,1938,2013,1938,2013
164,7501,KENORA A,Ontario,6034076,51137,71850,YQK,49.79,-94.36,494718000,-942147000,409.7,2013,2016,2013,2016,2013,2016,NA,NA
165,7479,DRYDEN,Ontario,6032117,3952,NA,NA,49.78,-92.83,494700000,-925000000,371.9,1914,1997,NA,NA,1914,1997,1914,1997
166,7486,EAGLE RIVER,Ontario,6032193,7382,NA,NA,49.78,-93.2,494700000,-931200000,363,NA,NA,NA,NA,NA,NA,NA,NA
167,7502,KENORA TCPL 49,Ontario,6034077,3961,NA,NA,49.78,-94.48,494700000,-942900000,340.2,1969,1991,NA,NA,1969,1991,1970,1991
168,7580,GERALDTON  CLDN,Ontario,6042714,30192,NA,NA,49.78,-85.94,494650000,-855619000,349.4,NA,NA,NA,NA,NA,NA,NA,NA
169,7582,GERALDTON A,Ontario,6042716,4003,71834,YGQ,49.78,-86.93,494658090,-865550050,348.4,1981,2015,1981,2015,1981,2015,1981,2014
170,7583,GERALDTON A,Ontario,6042717,53519,71834,YGQ,49.78,-86.94,494643000,-865619000,348.4,2015,2016,2015,2016,2015,2016,NA,NA
171,7584,GERALDTON A,Ontario,6042718,54240,NA,YGQ,49.78,-86.99,494643000,-865919000,348.4,2016,2016,2016,2016,NA,NA,NA,NA
172,7585,GERALDTON OVERLAP,Ontario,6042720,53878,NA,NA,49.78,-86.94,494643000,-865619000,348.4,NA,NA,NA,NA,NA,NA,NA,NA
173,7625,KLOTZ LAKE,Ontario,6044KN3,9864,NA,NA,49.78,-85.98,494700000,-855900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,7496,KEEWATIN,Ontario,6034020,7386,NA,NA,49.77,-94.57,494600000,-943400000,331,NA,NA,NA,NA,NA,NA,NA,NA
175,7612,LONGLAC P AND P,Ontario,6044560,4020,NA,NA,49.77,-86.53,494600000,-863200000,342.6,1951,1969,NA,NA,1951,1969,1951,1969
176,7937,NAGAGAMI,Ontario,6075542,4169,NA,NA,49.77,-84.52,494600000,-843100000,243.8,1964,1969,NA,NA,1964,1969,1964,1969
177,7495,KALMAR,Ontario,6033940,7385,NA,NA,49.75,-94.92,494500000,-945500000,380.4,NA,NA,NA,NA,NA,NA,NA,NA
178,7511,OTTER LAKE,Ontario,6036115,7388,NA,NA,49.75,-91.35,494500000,-912100000,396.2,NA,NA,NA,NA,NA,NA,NA,NA
179,7527,VALORA,Ontario,6039130,3972,NA,NA,49.75,-91.22,494500000,-911300000,426.7,1957,1959,NA,NA,1957,1959,1957,1959
180,7541,KENORA CCG,Ontario,603M0G6,9820,NA,NA,49.75,-94.48,494500000,-942900000,323.1,NA,NA,NA,NA,NA,NA,NA,NA
181,7611,LONGLAC,Ontario,6044525,4019,NA,NA,49.75,-86.5,494500000,-863000000,317,1921,1957,NA,NA,1921,1957,1921,1957
182,7938,NAGAGAMI (AUT),Ontario,6075543,7633,71832,WNZ,49.75,-84.16,494448600,-840949300,264,1993,2016,1994,2016,1993,2016,2003,2006
183,7497,KENORA  WX RADIO,Ontario,6034069,30208,NA,NA,49.74,-94.35,494420000,-942042000,370,NA,NA,NA,NA,NA,NA,NA,NA
184,7530,WABIGOON,Ontario,6039170,7394,NA,NA,49.72,-92.58,494300000,-923500000,370.3,NA,NA,NA,NA,NA,NA,NA,NA
185,7717,SHIKAG LAKE,Ontario,604P697,9859,NA,NA,49.72,-90.87,494300000,-905200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,7882,BONNER LAKE 2,Ontario,6070QKF,10193,NA,NA,49.72,-82.12,494300000,-820700000,246,NA,NA,NA,NA,NA,NA,NA,NA
187,7713,KATATOTA ISLAND (AUT),Ontario,604M002,10664,71468,WKK,49.71,-88.33,494247000,-881956000,261,1994,2006,1994,2006,1996,2006,NA,NA
188,7563,AUDEN,Ontario,6040LQQ,9858,NA,NA,49.7,-87.83,494200000,-875000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,7581,GERALDTON,Ontario,6042715,4002,NA,NA,49.7,-86.95,494200000,-865700000,330.7,1967,1981,1967,1981,1967,1981,1967,1981
190,7586,GERALDTON FORESTRY,Ontario,6042723,4004,NA,NA,49.7,-86.87,494200000,-865200000,338.3,1948,1969,NA,NA,1948,1969,1948,1969
191,7640,OXALINE LAKE,Ontario,6046164,4035,NA,NA,49.7,-87.57,494200000,-873400000,331.3,1952,1956,NA,NA,1952,1956,1952,1956
192,7899,HEARST,Ontario,6073407,7626,NA,NA,49.7,-83.65,494200000,-833900000,246,NA,NA,NA,NA,NA,NA,NA,NA
193,7697,LITTLE FLATLAND ISLAND (AUT),Ontario,6049470,43104,71468,WKK,49.69,-88.31,494124000,-881821000,261,2005,2016,2005,2016,2005,2016,NA,NA
194,7587,GERALDTON ONT HYDRO,Ontario,6042755,4005,NA,NA,49.68,-86.95,494100000,-865700000,338.3,1950,1973,NA,NA,1950,1973,1950,1973
195,7487,ELA,Ontario,6032253,7979,NA,NA,49.67,-93.72,494000000,-934300000,369,NA,NA,NA,NA,NA,NA,NA,NA
196,7539,ELA,Ontario,603KKNB,7994,NA,NA,49.67,-93.72,494000000,-934300000,369,NA,NA,NA,NA,NA,NA,NA,NA
197,7540,ELA,Ontario,603KKNK,7980,NA,NA,49.67,-93.72,494000000,-934300000,369,NA,NA,NA,NA,NA,NA,NA,NA
198,7900,HEARST,Ontario,6073408,7627,NA,NA,49.67,-83.67,494000000,-834000000,246,NA,NA,NA,NA,NA,NA,NA,NA
199,7488,ELA CAPMON,Ontario,6032255,48849,NA,ELA,49.66,-93.73,493951001,-934358002,438,NA,NA,NA,NA,NA,NA,NA,NA
200,7513,RAWSON LAKE (AUT),Ontario,6036907,30455,71855,TRA,49.66,-93.73,493951001,-934358002,435,2003,2016,2005,2016,2003,2016,NA,NA
201,7512,RAWSON LAKE,Ontario,6036904,3966,NA,NA,49.65,-93.72,493900000,-934300000,358.1,1969,2014,NA,NA,1969,2014,1969,2006
202,7477,BASKET LAKE,Ontario,6030NNR,9862,NA,NA,49.63,-92.1,493800000,-920600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,7484,DYMENT,Ontario,6032180,7381,NA,NA,49.63,-92.3,493800000,-921800000,411.5,NA,NA,NA,NA,NA,NA,NA,NA
204,7536,FEDERAL FISHERIES,Ontario,603BLP4,9853,NA,NA,49.63,-93.83,493800000,-935000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,7549,ABITIBI CAMP 300,Ontario,6040022,3984,NA,NA,49.63,-89.75,493800000,-894500000,426.7,1978,1986,NA,NA,1978,1986,1978,1986
206,7514,RESERVE 40,Ontario,6037006,7389,NA,NA,49.62,-95.1,493700000,-950600000,326.7,NA,NA,NA,NA,NA,NA,NA,NA
207,7558,BEARDMORE,Ontario,6040572,3989,NA,NA,49.62,-87.95,493700000,-875700000,304.8,1973,1986,NA,NA,1973,1986,1973,1986
208,7568,CARAMAT,Ontario,6041192,10912,NA,NA,49.6,-86.15,493600000,-860900000,337.1,NA,NA,NA,NA,NA,NA,NA,NA
209,7925,MATTICE TCPL,Ontario,6075024,4164,NA,NA,49.6,-83.17,493600000,-831000000,233.2,1966,1995,NA,NA,1966,1995,1966,1995
210,7526,TACHE,Ontario,6038198,7392,NA,NA,49.58,-92.17,493500000,-921000000,416.7,NA,NA,NA,NA,NA,NA,NA,NA
211,7906,ISLAND FALLS,Ontario,6073840,4155,NA,NA,49.58,-81.38,493500000,-812300000,213,1955,1996,NA,NA,1955,1996,1955,1996
212,7557,BEARDMORE  WX RADIO,Ontario,6040571,30206,NA,NA,49.57,-87.97,493400000,-875828000,306,NA,NA,NA,NA,NA,NA,NA,NA
213,7668,STEVENS,Ontario,6048017,4051,NA,NA,49.53,-85.85,493200000,-855100000,324.6,1945,1955,NA,NA,1945,1955,1945,1955
214,7669,STEVENS FORESTRY,Ontario,6048018,7592,NA,NA,49.53,-85.85,493200000,-855100000,324.6,NA,NA,NA,NA,NA,NA,NA,NA
215,7493,IGNACE TCPL 58,Ontario,6033697,3957,NA,NA,49.48,-92,492900000,-920000000,473,1969,1993,NA,NA,1969,1993,1969,1993
216,7524,SIOUX NARROWS,Ontario,6037803,3970,NA,NA,49.48,-93.97,492900000,-935800000,410.6,1933,1956,NA,NA,1933,1956,1933,1956
217,7534,WHITEFISH BAY,Ontario,6039465,3975,NA,NA,49.48,-93.97,492900000,-935800000,410.6,1914,1946,NA,NA,1914,1946,1914,1946
218,7515,ROYAL ISLAND (AUT),Ontario,6037201,10899,71859,WTX,49.47,-94.76,492807000,-944547000,329,1994,2016,1994,2016,2016,2016,NA,NA
219,7516,SANDY POINT,Ontario,6037489,9868,NA,NA,49.47,-92.32,492800000,-921900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,7596,HILLSPORT,Ontario,6043468,7584,NA,NA,49.43,-85.55,492600000,-853300000,315.5,NA,NA,NA,NA,NA,NA,NA,NA
221,7615,MACDIARMID,Ontario,6044735,4023,NA,NA,49.43,-88.15,492600000,-880900000,312.4,1926,1970,NA,NA,1926,1970,1926,1970
222,7685,TRAPPER L,Ontario,6048866,9895,NA,NA,49.43,-89.13,492600000,-890800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,7491,IGNACE,Ontario,6033690,3956,NA,NA,49.42,-91.65,492500000,-913900000,446.5,1889,1971,NA,NA,1889,1971,1889,1971
224,7505,MARTIN,Ontario,6034998,9865,NA,NA,49.42,-91,492500000,-910000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,7654,QUORN,Ontario,6046811,4042,NA,NA,49.42,-90.9,492500000,-905400000,444.7,1915,1960,NA,NA,1915,1960,1915,1960
226,7711,"DIVERSION L(C 58,55)",Ontario,604K0KP,9866,NA,NA,49.42,-87.12,492500000,-870700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,7976,KAPUSKASING,Ontario,607LRNR,9885,NA,NA,49.42,-82.38,492500000,-822300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,7910,KAPUSKASING A,Ontario,6073975,4157,NA,NA,49.41,-82.47,492450000,-822803000,226.5,1937,2014,1953,2014,1937,2014,1937,2014
229,7911,KAPUSKASING A,Ontario,6073976,52604,71831,YYU,49.41,-82.47,492442000,-822806000,226.5,2014,2016,2014,2016,2014,2016,NA,NA
230,7913,KAPUSKASING A,Ontario,6073978,54260,NA,YYU,49.41,-82.47,492442000,-822806000,226.5,2016,2016,2016,2016,NA,NA,NA,NA
231,7914,KAPUSKASING CDA ON,Ontario,6073980,30435,71299,XKA,49.41,-82.44,492423000,-822637000,218,2000,2016,2000,2016,2000,2016,2002,2006
232,7909,KAPUSKASING CDA,Ontario,6073960,4156,NA,NA,49.4,-82.43,492400000,-822600000,217.9,1918,2001,NA,NA,1918,2001,1918,2001
233,7525,SIOUX NARROWS,Ontario,6037804,3971,NA,NA,49.38,-94.07,492300000,-940400000,342.9,1980,1980,NA,NA,1980,1980,1980,1980
234,7880,BONNER LAKE,Ontario,6070QK6,4140,NA,NA,49.38,-82.12,492300000,-820725000,245,1990,2016,NA,NA,1990,2016,1990,2006
235,7881,BONNER LAKE CAPMON,Ontario,6070QKB,48428,NA,BON,49.38,-82.12,492300000,-820725000,245,NA,NA,NA,NA,NA,NA,NA,NA
236,7504,MANITOU LAKE,Ontario,6034893,7387,NA,NA,49.37,-92.6,492200000,-923600000,370.3,NA,NA,NA,NA,NA,NA,NA,NA
237,7548,ABITIBI CAMP 230,Ontario,6040020,3983,NA,NA,49.35,-89.37,492100000,-892200000,457.2,1969,1991,NA,NA,1969,1991,1969,1991
238,7506,MANITOU LAKE,Ontario,6034QRK,9876,NA,NA,49.32,-92.97,491900000,-925800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,7559,BLACK STURGEON LAKE,Ontario,6040785,3990,NA,NA,49.32,-88.85,491900000,-885100000,253,1951,1968,NA,NA,1951,1968,1951,1968
240,7560,BLACK STURGEON LAKE 2,Ontario,6040786,3991,NA,NA,49.3,-88.8,491800000,-884800000,253,1968,1971,NA,NA,1968,1971,1968,1971
241,7645,PINE PORTAGE,Ontario,6046549,4038,NA,NA,49.3,-88.32,491800000,-881900000,233.2,1950,1968,NA,NA,1950,1968,1950,1968
242,7476,BENDING LAKE,Ontario,6030724,9861,NA,NA,49.28,-92.12,491700000,-920700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,7508,MARTIN TCPL 60,Ontario,6035002,3964,NA,NA,49.28,-91.23,491700000,-911400000,470.6,1969,1984,NA,NA,1969,1984,1969,1984
244,7940,NORTHEAST ONTARIO RADAR,Ontario,6075620,44612,NA,XTI,49.28,-81.79,491648000,-814738000,0,NA,NA,NA,NA,NA,NA,NA,NA
