,ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
677,7876,KILLARNEY PK,Ontario,606M1BN,9923,NA,NA,46,-81.4,460000000,-812400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,8041,CLAPPERTON ISLAND,Ontario,6091540,7653,NA,NA,46,-82.23,460000000,-821400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,8099,CHALK RIVER 2,Ontario,6101333,7664,NA,NA,46,-77.43,460000000,-772600000,167.6,NA,NA,NA,NA,NA,NA,NA,NA
680,8570,EMERALD LAKE,Ontario,611B296,9921,NA,NA,46,-80,460000000,-800000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,8267,PETAWAWA NAT FORESTRY,Ontario,6106400,4353,NA,NA,45.98,-77.43,455900000,-772600000,183,1931,1999,NA,NA,1931,1999,1931,1996
682,7799,KILLARNEY (AUT),Ontario,605DJ25,8997,71460,WBE,45.97,-81.48,455800000,-812900000,196.3,1992,2016,1994,2016,1992,2016,NA,NA
683,8051,LITTLE CURRENT,Ontario,6094449,4212,NA,NA,45.97,-81.92,455800000,-815500000,190.5,1986,1989,NA,NA,1986,1989,1986,1989
684,8002,LAKE TRAVERSE,Ontario,6084307,4197,NA,NA,45.95,-78.07,455700000,-780400000,236.2,1965,1987,NA,NA,1965,1987,1965,1987
685,8042,COCKBURN ISLAND,Ontario,6091718,4207,NA,NA,45.95,-83.3,455700000,-831800000,185.9,1897,1910,NA,NA,1897,1910,1897,1910
686,8053,LITTLE CURRENT  WX RADIO,Ontario,6094451,30217,NA,NA,45.95,-81.95,455715000,-815645000,310,NA,NA,NA,NA,NA,NA,NA,NA
687,8263,PETAWAWA AWOS 2,Ontario,6106396,47527,71625,YWA,45.95,-77.32,455700000,-771900000,130.1,2008,2016,2008,2016,2008,2016,NA,NA
688,8264,PETAWAWA  CLDN,Ontario,6106397,30190,NA,NA,45.95,-77.31,455647000,-771843000,130.2,NA,NA,NA,NA,NA,NA,NA,NA
689,8265,PETAWAWA A,Ontario,6106398,4352,71625,YWA,45.95,-77.32,455700000,-771900000,130.1,1969,2016,1969,2016,1970,2008,1971,2006
690,8037,LAKE TRAVERSE,Ontario,608ML06,10704,NA,NA,45.93,-78.12,455600000,-780700000,659,NA,NA,NA,NA,NA,NA,NA,NA
691,8052,LITTLE CURRENT,Ontario,6094450,4213,NA,NA,45.93,-81.9,455600000,-815400000,187.5,1871,1895,NA,NA,1871,1895,1871,1893
692,8463,NIPISSING,Ontario,6115666,7719,NA,NA,45.93,-79.2,455600000,-791200000,276.1,NA,NA,NA,NA,NA,NA,NA,NA
693,8043,GORE BAY,Ontario,6092915,4208,NA,NA,45.92,-82.47,455500000,-822800000,190.5,1881,1983,NA,NA,1881,1983,1881,1983
694,8050,KAGAWONG,Ontario,6093900,4211,NA,NA,45.92,-82.27,455500000,-821600000,179.8,1951,1961,NA,NA,1951,1961,1951,1961
695,8266,PETAWAWA AWOS,Ontario,6106399,31347,71531,ZWA,45.92,-77.3,455500000,-771800000,130.1,NA,NA,NA,NA,NA,NA,NA,NA
696,8038,LAKE TRAVERSE,Ontario,608ML0F,9961,NA,NA,45.9,-78.05,455400000,-780300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,8443,LORING,Ontario,6114615,9943,NA,NA,45.9,-79.98,455400000,-795900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,7982,ACHCRAY,Ontario,60800B7,9957,NA,NA,45.88,-77.72,455300000,-774300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,8044,GORE BAY-MANITOULIN,Ontario,6092919,48372,NA,YZE,45.88,-82.57,455254000,-823402000,189.89,2009,2016,2009,2016,NA,NA,NA,NA
700,8045,GORE BAY CLIMATE,Ontario,6092920,48788,71956,TZE,45.88,-82.57,455300000,-823400000,188.6,2010,2016,2010,2016,2010,2016,NA,NA
701,8046,GORE BAY A,Ontario,6092925,4209,NA,YZE,45.88,-82.57,455300000,-823400000,193.5,1947,2006,1953,2005,1947,2006,1947,2006
702,8047,GORE BAY  AWOS,Ontario,6092930,30240,NA,OZE,45.88,-82.57,455300000,-823400000,193.5,2005,2012,2005,2012,2005,2011,2006,2006
703,8327,PETAWAWA HOFFMAN,Ontario,610FC98,6900,NA,NA,45.88,-77.25,455300000,-771500000,153,1993,2016,NA,NA,1993,2016,1993,2006
704,8257,PEMBROKE CLIMATE,Ontario,6106367,49068,71196,TPM,45.86,-77.25,455137000,-771508000,161,2010,2016,2010,2016,2010,2016,NA,NA
705,8254,PEMBROKE   WX RADIO,Ontario,6106361,30221,NA,NA,45.83,-77.16,455002000,-770950000,141,NA,NA,NA,NA,NA,NA,NA,NA
706,8255,PEMBROKE EDDY MATCH,Ontario,6106362,4348,NA,NA,45.83,-77.15,455000000,-770900000,125,1866,1969,NA,NA,1866,1969,1866,1969
707,8435,JOLY,Ontario,6113877,7716,NA,NA,45.83,-79.2,455000000,-791200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,8521,SOUTH RIVER,Ontario,6117957,4512,NA,NA,45.83,-79.38,455000000,-792300000,396.2,1977,1995,NA,NA,1977,1995,1977,1995
709,8577,MIKISEW PARK,Ontario,611EJD0,9955,NA,NA,45.83,-79.45,455000000,-792700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,8532,SUNDRIDGE,Ontario,6118178,7731,NA,NA,45.82,-79.32,454900000,-791900000,335.3,NA,NA,NA,NA,NA,NA,NA,NA
711,8698,BURNT ISLAND,Ontario,612A0FN,10858,NA,NA,45.81,-82.95,454830000,-825700000,185.5,NA,NA,NA,NA,NA,NA,NA,NA
712,8256,PEMBROKE FORESTRY STN,Ontario,6106365,4349,NA,NA,45.8,-77.18,454800000,-771100000,121.9,1926,1942,NA,NA,1926,1942,1926,1942
713,8373,BRITT (AUT),Ontario,6110967,7704,NA,WBI,45.8,-80.53,454800000,-803200000,190,1992,2010,1994,2001,1992,2010,NA,NA
714,8374,BRITT RADAR,Ontario,6110968,7983,NA,WBI,45.8,-80.53,454800000,-803200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,8544,UPLANDS,Ontario,6119064,4526,NA,NA,45.8,-79.42,454800000,-792500000,NA,1886,1913,NA,NA,1886,1913,1886,1913
716,8554,WATTENWYL,Ontario,6119394,7735,NA,NA,45.8,-79.58,454800000,-793500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,8420,GRUNDY LAKE,Ontario,61130FA,9942,NA,NA,45.78,-80.55,454700000,-803300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
718,8054,MANITOWANING,Ontario,6094908,7654,NA,NA,45.75,-81.87,454500000,-815200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,8258,PEMBROKE SE,Ontario,6106369,31127,NA,NA,45.75,-76.98,454500000,-765900000,148,1999,2004,NA,NA,1999,2004,1999,2004
720,8057,SANDFIELD,Ontario,6097425,7656,NA,NA,45.7,-82,454200000,-820000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,8058,SANDFIELD,Ontario,6097426,27603,NA,NA,45.69,-81.98,454124060,-815855092,230.8,1998,2016,NA,NA,1998,2016,1998,2006
