ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
7358,EAST PEN ISLAND,Ontario,6012227,7370,NA,NA,56.77,-88.78,564600000,-884700000,11,1974,1974,1974,1974,NA,NA,NA,NA
7361,FORT SEVERN A,Ontario,6012500,45447,NA,YER,56.02,-87.68,560108000,-874034000,15.8,2006,2013,2006,2013,2006,2013,NA,NA
7362,FORT SEVERN A,Ontario,6012501,51219,71099,YER,56.02,-87.68,560108000,-874034000,15.8,2013,2016,2013,2016,2013,2016,NA,NA
7425,SEVERN RIVER (AUT),Ontario,601P68B,10726,NA,NA,55.38,-88.33,552300000,-882000000,56.4,1994,1995,1994,1995,NA,NA,NA,NA
7405,WINISK,Ontario,6019548,3925,NA,NA,55.27,-85.22,551600000,-851300000,12.2,1968,1979,NA,NA,1968,1979,1968,1978
7406,WINISK (AUT),Ontario,6019549,7578,NA,NA,55.23,-85.12,551400000,-850700000,13,1981,1986,1981,1986,NA,NA,NA,NA
7407,WINISK A,Ontario,6019550,3926,NA,NA,55.23,-85.12,551400000,-850700000,12.8,1957,1965,1957,1965,1959,1965,1959,1965
7377,PEAWANUCK  CLDN,Ontario,6016294,30189,NA,NA,55.01,-85.42,550048000,-852524000,52.1,NA,NA,NA,NA,NA,NA,NA,NA
7379,PEAWANUCK A,Ontario,6016298,52878,NA,YPO,54.99,-85.44,545917000,-852636000,52.7,2014,2016,2014,2016,NA,NA,NA,NA
7378,PEAWANUCK (AUT),Ontario,6016295,10197,71434,WWN,54.98,-85.43,545900000,-852600000,52.7,1994,2016,1994,2016,1994,2016,2003,2006
7418,SACHIGO RIVER,Ontario,601GBG0,7364,NA,NA,54.82,-89.33,544900000,-892000000,121.9,NA,NA,NA,NA,NA,NA,NA,NA
7344,AGUSK LAKE,Ontario,6010082,7572,NA,NA,54.67,-89.48,544000000,-892900000,152.4,NA,NA,NA,NA,NA,NA,NA,NA
7389,RANGER LAKE,Ontario,6016883,7576,NA,NA,54.57,-87.38,543400000,-872300000,109.7,NA,NA,NA,NA,NA,NA,NA,NA
7431,WINISK RIVER,Ontario,601R553,7571,NA,NA,54.55,-87.27,543300000,-871600000,106.7,NA,NA,NA,NA,NA,NA,NA,NA
7417,SACHIGO LAKE,Ontario,601GB70,7365,NA,NA,53.88,-92.15,535300000,-920900000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
7402,TROUT LAKE,Ontario,6018948,7375,NA,NA,53.87,-89.77,535200000,-894600000,343.8,NA,NA,NA,NA,NA,NA,NA,NA
7350,BIG TROUT LAKE,Ontario,6010738,3914,NA,NA,53.83,-89.87,535000000,-895200000,224.1,1939,1992,1953,1992,1939,1992,1939,1992
7348,BIG TROUT LAKE A,Ontario,6010735,49488,71675,YTL,53.82,-89.9,534904000,-895349000,222.5,2011,2016,2011,2016,2011,2016,NA,NA
7351,BIG TROUT LAKE READAC,Ontario,6010739,10804,NA,TBL,53.82,-89.9,534856000,-895344000,222.2,1992,2013,1994,2013,1992,2013,NA,NA
7352,BIG TROUT LAKE,Ontario,6010740,50857,71208,OTL,53.82,-89.89,534858000,-895330000,222.5,2012,2016,2012,2016,2012,2016,NA,NA
7410,EKWAN RIVER (AUT),Ontario,601BKEK,10910,NA,NA,53.82,-84.92,534900000,-845500000,96,1994,1995,1994,1995,NA,NA,NA,NA
7349,BIG TROUT LAKE  CLDN,Ontario,6010737,30191,NA,NA,53.8,-89.9,534800000,-895400000,222.2,NA,NA,NA,NA,NA,NA,NA,NA
7423,MUSKRATDAM LAKE,Ontario,601NEC0,7367,NA,NA,53.45,-91.63,532700000,-913800000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
7373,MUSKRAT DAM A,Ontario,6015025,44483,71755,ZMD,53.44,-91.76,532629000,-914546000,277.7,2005,2012,2005,2012,2006,2012,NA,NA
7374,MUSKRAT DAM,Ontario,6015026,50722,71678,ZMD,53.44,-91.76,532629000,-914546000,277.7,2012,2016,2012,2016,2012,2016,NA,NA
7398,SANDY LAKE,Ontario,6017400,45088,NA,NA,53.06,-93.34,530351000,-932040000,289.9,2006,2012,2006,2012,2006,2012,NA,NA
7399,SANDY LAKE A,Ontario,6017401,50723,71587,ZSJ,53.06,-93.34,530351000,-932040000,289.9,2012,2016,2012,2016,2012,2016,NA,NA
7428,SANDY LAKE,Ontario,601PDH0,7368,NA,NA,53.05,-93.33,530300000,-932000000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
7404,WEBEQUIE,Ontario,6019440,7577,NA,NA,52.98,-87.35,525900000,-872100000,204.2,NA,NA,NA,NA,NA,NA,NA,NA
7347,ATTAWAPISKAT A,Ontario,6010400,52918,71653,YAT,52.93,-82.43,525539000,-822555000,9.1,2015,2016,2015,2016,2015,2016,NA,NA
7346,ATTAWAPISKAT,Ontario,6010387,3913,NA,NA,52.92,-82.45,525500000,-822700000,9.1,1968,1968,NA,NA,1968,1968,1968,1968
7414,POPLAR HILL,Ontario,601F562,9838,NA,NA,52.85,-94.3,525100000,-941800000,0,NA,NA,NA,NA,NA,NA,NA,NA
7430,SUMMER BEAVER,Ontario,601QJ69,9874,NA,NA,52.75,-88.52,524500000,-883100000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7421,DEER LAKE,Ontario,601JRP6,9836,NA,NA,52.63,-94,523800000,-940000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7411,KARL LAKE,Ontario,601C9PR,7570,NA,NA,52.58,-90.18,523500000,-901100000,317,NA,NA,NA,NA,NA,NA,NA,NA
